1 | Title | Definition | No
3625 | NarrativeText | The recent medical history of the patient is helpful in diagnosing anaerobic infection. A patient who has or recently had surgery, dental work, tumors, blood vessel disease, or injury are susceptible to this infection. The failure to improve following treatment with antibiotics that aren’t able to kill anaerobes is another clue that the infection is caused by anaerobes. The location and type of infection also help in the diagnosis. | No
3626 | NarrativeText | Diagnostic tests may include blood tests to see if bacteria are in the bloodstream and x rays to look at internal infections. | No
3627 | Title | Treatment | No
3628 | NarrativeText | Serious infections may require hospitalization for treatment. Immediate antibiotic treatment of anaerobic infections is necessary. Laboratory testing may identify the bacteria causing the infection and also which antibi- otic will work best. Every antibiotic does not work against all anaerobic bacteria but nearly all anaerobes are killed by chloramphenicol (Chloromycetin), metronida- zole (Flagyl or Protostat), and imipenem (Primaxin). Other antibiotics which may be used are clindamycin (Cleocin) or cefoxitin (Mefoxin). | No
3629 | NarrativeText | Surgical removal or drainage of the abscess is almost always required. This may involve drainage by needle and syringe to remove the pus from a skin abscess (called “aspiration”). The area would be numbed prior to the aspiration procedure. Also, some internal abscesses can be drained using this procedure with the help of ultrasound (a device which uses sound waves to visualize internal organs). This type of abscess drainage may be performed in the doctor’s office. | No
3630 | Title | Prognosis | No
3631 | NarrativeText | Complete recovery should be achieved with the appropriate surgery and antibiotic treatment. Untreated or uncontrolled infections can cause severe tissue and bone destruction, which would require plastic surgery to repair. Serious infections can be life threatening. | No
3632 | Title | Prevention | No
3633 | NarrativeText | Although anaerobic infections can occur in anyone, good hygiene and general health may help to prevent infections. | No
3634 | Title | Resources | No
3635 | Title | BOOKS | No
3636 | NarrativeText | Harrison's Principles of Internal Medicine. Ed. Anthony S. Fauci, et al. New York: McGraw-Hill, 1997. | No
3637 | NarrativeText | Belinda Rowland, PhD Anaerobic myositis see Gangrene | No
3639 | Title | Definition | No
3640 | NarrativeText | The anus is either not present or it is in the wrong place. | No
3641 | Title | Description | No
3642 | NarrativeText | There are basically two kinds of anal atresia. In boys with high anal atresia, there may be a channel (fistula) connecting the large intestine to either the urethra (which delivers urine from the bladder) or the bladder itself. In girls, the channel may connect with the vagina. Sixty percent of children with high anal atresia have other defects, including problems with the esophagus, urinary tract, and bones. In low anal atresia, the channel may open in front of the circular mass of muscles that con- strict to close the anal opening (anal sphincter) or, in boys, below the scrotum. Occasionally, the intestine ends just under the skin. It is estimated that overall abnormali- ties of the anus and rectum occur in about one in every 5,000 births and are slightly more common among boys. A mother who has one child with these kind of condi- tions has a 1% chance of having another child who suf- fers from this ailment. | No
3643 | Title | Cause and symptoms | No
3644 | NarrativeText | Anal atresia is a defect in the development of the fetus. The cause is unknown, but genetics seem to play a minor role. | No
3645 | Title | Diagnosis | No
3646 | NarrativeText | Usually a physician can make an obvious visual diagnosis of anal atesia right after birth. Occasionally, however, anal atresia is missed until the baby is fed and signs of intestinal obstruction appear. At the end of the first or second day, the abdomen swells and there is vom- iting of fecal material. To determine the type of anal atre- sia and the exact position, x rays will be taken which include injecting opaque dye into the opening. Magnetic resonance imaging (MRI) or computed tomography scans (CT), as well as ultrasound, are the imaging tech- niques used to determine the type and size of the anal atresia. Ultrasound uses sound waves, CT scans pass x rays through the body at different angles, and an MRI uses a magnetic field and radio waves. | No
3647 | Title | KEY TERMS | No
3648 | NarrativeText | Anus—The canal at the end of the large intestine hrough which waste is excreted to the outside of he body. | No
3649 | NarrativeText | Bowel obstruction—Anything that prevents waste rom moving normally to the anal opening. | No
3650 | NarrativeText | Colostomy—An operation where the large intes- ine is diverted through an opening in the abdomen and waste is excreted. | No
3651 | NarrativeText | Feces—Bodily waste material that normally passes hrough the anus. | No
3652 | NarrativeText | Fistula—An abnormal channel that connects two organs or connects an organ to the skin. | No
3653 | Title | Treatment | No
3654 | NarrativeText | Surgery is the only treatment for anal atresia. For high anal atresia, immediately after the diagnosis is made, a surgical incision is made in the large intestine to make a temporary opening (colostomy) in the abdomen where waste is excreted. Several months later, the intestine is moved into the ring of muscle (sphincter) that is part of the anus and a hole is made in the skin. The colostomy is closed several weeks later. In low anal atresia, immediate- ly after diagnosis, a hole is made in the skin to open the area where the anus should be. If the channel is in the wrong place, the intestine is moved into the correct posi- tion sometime during the child’s first year. After surgery, the pediatric surgeon uses an instrument to dilate or widen the rectum and teaches the parents how to do this daily at home to prevent scar tissue from contracting. | No
3655 | Title | Prognosis | No
3656 | NarrativeText | With high anal atresia, many children have problems controlling bowel function. Most also become constipat- ed. With low anal atresia, children generally have good bowel control, but they may still become constipated. | No
3657 | Title | Prevention | No
3658 | NarrativeText | There is no known way to prevent anal atresia. | No
3659 | Title | Resources | No
3660 | Title | BOOKS | No
3661 | ListItem | Freeman, Neill V. “Anorectal Malformations.” In Surgery of the Newborn. Edinburgh: Churchill Livingstone, 1994. | No
3662 | ListItem | Paidas, Charles N., and Alberto Pena. “Rectum and Anus.” In Surgery of Infants and Children. Philadelphia: Lippincott- Raven, 1997. | No
3663 | NarrativeText | Jeanine Barone, Physiologist | No
3665 | Title | Definition | No
3666 | NarrativeText | Anal cancer is an uncommon form of cancer affect- ing the anus. The anus is the inch-and-a-half-long end portion of the large intestine, which opens to allow solid wastes to exit the body. Other parts of the large intestine include the colon and the rectum. | No
3667 | Title | Description | No
3668 | NarrativeText | Different cancers can develop in different parts of the anus, part of which is inside the body and part of which is outside. Sometimes abnormal changes of the anus are harmless in their early stages but may later develop into cancer. Some anal warts, for example, con- tain precancerous areas and can develop into cancer. Types of anal cancer include: ¢ Squamous Cell Carcinomas. Approximately half of anal cancers are squamous cell carcinomas, which arise from the cells lining the anal margin and the anal canal. The anal margin is the part of the anus that is half inside and half outside the body, and the anal canal is the part of the anus that is inside the body. The earliest form of squamous cell carcinoma is known as carcinoma in situ, or Bowen’s disease. | No
